Date,Soybeans,shock_type,shock_direction,window_active,is_strong,ret_5d_at_shock,ret_10d_at_shock,ret_active_at_shock,oil_5d_at_shock,oil_10d_at_shock,oil_active_at_shock,soyoil_5d_at_shock,soyoil_10d_at_shock,ok,spike_size_pct,peak_day,peak_gain_pct,half_fade_day,full_fade_day,ret_30d_pct,persistence_30d_pct,survived_30d
2024-06-10,1188.25,speculative_down,down,10d,False,0.003165892781764379,-0.04787660256410253,-0.04787660256410253,0.04742652364824451,0.00025729082285552707,0.00025729082285552707,-0.010874480037915357,-0.02869857382941199,True,0.32,3,0.42,4.0,4.0,-6.21,-1470.0,False
2024-06-11,1178.0,speculative_down,down,10d,False,-0.0008481764206954567,-0.041886945912972706,-0.041886945912972706,0.0634812495000534,-0.024176378064731385,-0.024176378064731385,0.001146245719506389,-0.040641526147059404,True,-0.08,22,-8.57,,,-5.34,62.4,True
2024-07-05,1188.5,soyoil_driven,up,5d,False,0.031460186591451444,0.028781648993724263,0.031460186591451444,0.017372227005761243,0.012048259890776292,0.017372227005761243,0.14095187438112045,0.12849664667558303,True,3.15,0,3.15,2.0,3.0,-18.53,-589.0,False
2024-07-11,1142.75,speculative_down,down,5d,False,-0.028686782830429247,-0.017200602021070766,-0.028686782830429247,-0.015021394230966045,0.021260830510033024,-0.015021394230966045,-0.030658393221204117,0.08423474759829919,True,-2.87,26,-20.21,,,-20.0,98.9,True
2024-07-12,1134.5,speculative_down,down,5d,True,-0.04543542280185109,-0.015404643089607317,-0.04543542280185109,-0.01142381596682851,0.005749953914685024,-0.01142381596682851,-0.041717044324522945,0.09335473446541576,True,-4.54,25,-21.01,,,-19.9,94.7,True
2024-07-15,1078.0,speculative_down,down,5d,True,-0.08196721311475408,-0.06301607996523251,-0.08196721311475408,-0.005101398756278019,0.004537683865926567,-0.005101398756278019,-0.05265309859295275,0.06054369850278585,True,-8.2,24,-20.06,,,-18.27,91.1,True
2024-07-16,1090.5,speculative_down,down,5d,True,-0.06112785191562631,-0.05950840879689523,-0.06112785191562631,-0.007984295499810168,-0.03142234592817883,-0.007984295499810168,-0.003414422648914006,0.018983174713627093,True,-6.11,23,-19.18,,,-16.7,87.1,True
2024-07-17,1097.25,speculative_down,down,10d,False,-0.03855421686746985,-0.058154506437768205,-0.058154506437768205,0.009135201144204741,0.0004830445200658673,0.0004830445200658673,-0.0010808309311431952,-0.015342024632881146,True,-3.86,22,-17.74,,,-16.01,90.2,True
2024-07-18,1098.5,speculative_down,down,10d,True,-0.03872238022314589,-0.06629834254143652,-0.06629834254143652,0.0024206843572207593,-0.01263707192778385,-0.01263707192778385,-0.014009760960756346,-0.04423863742149048,True,-3.87,21,-17.85,,,-14.79,82.8,True
2024-07-19,1097.25,speculative_down,down,10d,True,-0.03283384750991625,-0.07677745056794283,-0.07677745056794283,-0.02530108082007687,-0.036435861895854904,-0.036435861895854904,-0.020820144682524577,-0.061668634108483666,True,-3.28,20,-17.25,,,-13.44,77.9,True
