Date,insp_soy_lbs,insp_soy_bu,insp_soy_4wk_avg,insp_soy_yoy,insp_soy_zscore
2019-05-02,1330446200,22174103.333333332,18130022.241666667,0.12807924138932303,-1.0069835577538628
2019-05-09,1205679780,20094663.0,18778230.041666664,-0.21748947683527187,-1.2097356093969749
2019-05-16,1098240230,18304003.833333332,19807620.125,-0.4509029031503,-1.3479976921374042
2019-05-23,1184413410,19740223.5,20078248.416666668,-0.0760300907474214,-1.1873482823982584
2019-05-30,1125485130,18758085.5,19224243.958333332,-0.10955473111005032,-1.2796489113162868
2019-06-06,1618458560,26974309.333333332,20944155.541666664,0.08654223339362299,-0.4185266468204247
2019-06-13,1500009538,25000158.966666665,22618194.325,-0.16910207043657544,-0.6145793116138331
2019-06-20,1613400370,26890006.166666668,24405639.991666667,0.4162174104772547,-0.43759405302879595
2019-06-27,1589223105,26487051.75,26337881.554166667,-0.15205111661631376,-0.46983419797761683
2019-07-04,1679654320,27994238.666666668,26592863.8875,0.14044189594356937,-0.3174399162222266
2019-07-11,1886405688,31440094.8,28202847.845833335,0.3420484938981958,0.034794081648677415
2019-07-18,1241359878,20689331.3,26652679.129166666,-0.22672113664379434,-1.0987652621543211
2019-07-25,2350446463,39174107.71666667,29824443.120833334,0.38677485503329656,0.8433258410350681
2019-08-01,2277137920,37952298.666666664,32313958.12083333,0.15578164620683155,0.7002761023549747
2019-08-08,2083141590,34719026.5,33133691.045833334,0.6246627396643611,0.335740965322698
2019-08-15,2554699080,42578318.0,38605937.72083333,0.7530057691936753,1.1272780853688946
2019-08-22,2129519284,35491988.06666667,37685407.80833334,0.06381112672319111,0.37323299964293716
2019-08-29,2844922171,47415369.516666666,40051175.520833336,0.6622506291454786,1.5570712928492287
2019-09-05,2155995931,35933265.516666666,40354735.275000006,0.035486100720443,0.36987423382860807
2019-09-12,1473825290,24563754.833333332,35851094.483333334,-0.15084927414386118,-0.7894544287703551
2019-09-19,2064345370,34405756.166666664,35579536.50833333,0.261407427407355,0.20635104212661137
2019-09-26,2196702516,36611708.6,32878621.27916667,0.5526481106970464,0.4100319789643208
2019-10-03,2343017190,39050286.5,33657876.525,0.6878319346485087,0.6343117132273807
2019-10-10,2107751550,35129192.5,36299235.94166667,-0.22784074127996323,0.25117000383752847
2019-10-17,2934541670,48909027.833333336,39925053.858333334,0.09291976351965525,1.6794335582679707
2019-10-24,3480273274,58004554.56666667,45273265.35,0.16439741723341017,2.5221369613950513
2019-10-31,3270958706,54515978.43333333,49139688.333333336,0.18913685477538555,2.092550189861307
2019-11-07,2972331340,49538855.666666664,52742104.125,-0.006731216963547171,1.6071913894381822
2019-11-14,3392125092,56535418.2,54648701.71666667,0.38499164321879675,2.1671924722494302
2019-11-21,4304420364,71740339.4,58082647.925000004,0.7381868850979469,3.0
2019-11-28,3476329620,57938827.0,58938360.06666667,0.4934286456007255,1.9133699739623888
2019-12-05,3092333160,51538886.0,59438367.650000006,0.5137205180660385,1.3408286558807805
2019-12-12,2904781898,48413031.63333333,57407771.00833333,0.28066876385860384,1.0633684787741506
2019-12-19,2418433810,40307230.166666664,49549493.7,0.567825929827176,0.4024662853288987
2019-12-26,2186604378,36443406.3,44175638.525,0.31162723060086295,0.08322919188681226
2020-01-02,1735259870,28920997.833333332,38521166.483333334,0.7695919445145192,-0.5455136326416149
2020-01-09,2538869220,42314487.0,36996530.325,0.04658264148331592,0.5383631457984728
2020-01-16,2665143330,44419055.5,38024486.65833333,0.06948539717858071,0.7026200075533086
2020-01-23,2336956560,38949276.0,38650954.08333333,0.12204743806589313,0.2535453789873242
2020-01-30,3095691934,51594865.56666667,44319421.016666666,0.28485934664281665,1.2398732278159725
2020-02-06,1344091772,22401529.533333335,39341181.65,-0.4702632675921846,-1.0464699509490505
2020-02-13,2215920840,36932014.0,37469421.275000006,-0.07241543060909705,0.10576453552243614
2020-02-20,1264299690,21071661.5,33000017.650000002,-0.5617431166926503,-1.1044135136633786
2020-02-27,1299097490,21651624.833333332,25514207.466666665,-0.30587249143164175,-1.033952473415581
2020-03-05,1300572660,21676211.0,25332877.833333332,-0.33620531710360857,-1.005534444879245
2020-03-12,1091153910,18185898.5,20646348.958333332,-0.41753683952454745,-1.2375414777807365
2020-03-19,1295045130,21584085.5,20774454.958333332,-0.3169333155309678,-0.9555800568430729
2020-03-26,912891540,15214859.0,19165263.5,-0.4184737504348468,-1.3978747176028878
2020-04-02,663874200,11064570.0,16512353.25,-0.6611940273294815,-1.6304606595632463
2020-04-09,1048565950,17476099.166666668,16334903.416666668,-0.0014702822897276757,-1.1667258360761545
2020-04-16,1216498940,20274982.333333332,16007627.625,0.4291800713359435,-0.9829392292621751
2020-04-23,1236983610,20616393.5,17358011.25,0.10497982505213099,-0.9635374597755642
2020-04-30,840414590,14006909.833333334,18093596.208333336,-0.36832125192285103,-1.4174725552163379
2020-05-07,1181051530,19684192.166666668,18645619.458333336,-0.020426858282387328,-1.0057719253729096
2020-05-14,907389040,15123150.666666666,17357661.541666668,-0.17377909202980113,-1.3237404491570293
2020-05-21,757753340,12629222.333333334,15360868.750000002,-0.3602290099028851,-1.4749183486017816
2020-05-28,996300500,16605008.333333334,16010393.375000002,-0.11478128547109279,-1.185740959411207
2020-06-04,604230090,10070501.5,13606970.708333334,-0.6266632307224473,-1.586950457982626
2020-06-11,984272410,16404540.166666666,13927318.083333334,-0.34382256574691195,-1.1267837885701226
2020-06-18,564009300,9400155.0,13120051.25,-0.6504219842220564,-1.5473170141707333
2020-06-25,737806200,12296770.0,12042991.666666666,-0.5357441018327003,-1.3142217047535245
2020-07-02,1238236580,20637276.333333332,14684685.375,-0.26280272955211414,-0.7521858044409021
2020-07-09,1065815000,17763583.333333332,15024446.166666666,-0.4350022337294819,-0.9154506418819317
2020-07-16,1002524540,16708742.333333334,16851593.0,-0.19239814515738685,-0.9747933808642012
2020-07-23,1114118930,18568648.833333332,18419562.708333332,-0.5259968914254739,-0.8251004969733993
2020-07-30,1229357180,20489286.333333332,18382565.208333332,-0.4601305572215846,-0.6779068786041007
2020-08-06,1858996889,30983281.483333334,21687489.745833334,-0.10759935958073785,0.00042687848800331875
2020-08-13,2055943630,34265727.166666664,26076735.954166666,-0.19523060618160948,0.2226776244870899
2020-08-20,2696865489,44947758.15,32671513.28333333,0.2664198484900875,0.894198303658151
2020-08-27,1809281360,30154689.333333332,35087864.03333333,-0.3640313332845828,-0.03319015234085459
2020-09-03,3335255850,55587597.5,41238943.037499994,0.5469675995413557,1.553934099042674
2020-09-10,3603854503,60064241.71666667,47688571.675,1.4452386096590866,1.7418179940451066
2020-09-17,3065632530,51093875.5,49225101.0125,0.48503858634856245,1.1552871458712834
2020-09-24,2860877270,47681287.833333336,53606750.6375,0.30235079586898417,0.9279941160098225
2020-10-01,4592784046,76546400.76666667,58846451.45416667,0.9602007469693383,2.461869474769694
