datetime,open,high,low,close,volume
2026-04-15 12:15:00+00:00,1166.75,1167.0,1165.75,1166.25,427
2026-04-15 12:30:00+00:00,1166.25,1167.75,1166.25,1166.5,1048
2026-04-15 13:30:00+00:00,1165.25,1167.0,1163.75,1165.0,5771
2026-04-15 13:45:00+00:00,1165.0,1167.0,1165.0,1166.0,4916
2026-04-15 14:00:00+00:00,1166.0,1167.25,1165.75,1166.0,3454
2026-04-15 14:15:00+00:00,1165.75,1166.0,1163.25,1164.5,3231
2026-04-15 14:30:00+00:00,1164.25,1167.0,1164.25,1164.5,3113
2026-04-15 14:45:00+00:00,1164.5,1166.5,1164.5,1166.25,2180
2026-04-15 15:00:00+00:00,1166.0,1168.75,1165.5,1168.0,2538
2026-04-15 15:15:00+00:00,1167.75,1168.0,1166.75,1168.0,1736
2026-04-15 15:30:00+00:00,1168.0,1168.75,1166.5,1166.75,9920
2026-04-15 15:45:00+00:00,1166.75,1169.75,1166.75,1169.5,7170
2026-04-15 16:00:00+00:00,1169.75,1171.0,1167.5,1169.75,3146
2026-04-15 16:15:00+00:00,1169.5,1170.0,1168.5,1169.5,2388
2026-04-15 16:30:00+00:00,1169.75,1170.25,1168.5,1169.0,1594
2026-04-15 16:45:00+00:00,1169.25,1170.75,1168.75,1170.0,1633
2026-04-15 17:00:00+00:00,1169.75,1170.25,1168.0,1168.25,27142
2026-04-15 17:15:00+00:00,1168.0,1169.75,1167.5,1168.75,8677
2026-04-15 17:30:00+00:00,1169.0,1169.5,1168.5,1169.0,4037
2026-04-15 17:45:00+00:00,1169.0,1169.25,1166.25,1166.25,3536
2026-04-15 18:00:00+00:00,1166.5,1168.0,1165.75,1166.75,5634
2026-04-15 18:15:00+00:00,1166.5,1166.75,1165.0,1165.25,7355
2026-04-16 00:00:00+00:00,1165.75,1166.5,1164.0,1165.5,1513
2026-04-16 00:15:00+00:00,1165.75,1166.25,1165.0,1165.0,379
2026-04-16 00:30:00+00:00,1165.0,1166.25,1164.75,1166.0,4984
2026-04-16 00:45:00+00:00,1166.0,1166.25,1165.75,1165.75,101
2026-04-16 01:00:00+00:00,1165.5,1166.0,1164.75,1165.25,130
2026-04-16 01:15:00+00:00,1165.0,1165.5,1165.0,1165.5,65
2026-04-16 01:30:00+00:00,1165.5,1166.5,1165.5,1166.25,118
2026-04-16 01:45:00+00:00,1166.25,1167.0,1166.0,1166.5,159
2026-04-16 02:00:00+00:00,1166.5,1166.75,1166.0,1166.25,52
2026-04-16 02:15:00+00:00,1166.0,1166.75,1166.0,1166.75,156
2026-04-16 02:30:00+00:00,1166.75,1166.75,1166.25,1166.5,43
2026-04-16 02:45:00+00:00,1166.5,1167.0,1166.5,1166.5,55
2026-04-16 03:00:00+00:00,1166.5,1167.25,1166.5,1167.0,136
2026-04-16 03:15:00+00:00,1167.0,1167.0,1166.75,1167.0,16
2026-04-16 03:30:00+00:00,1167.0,1167.25,1167.0,1167.0,8
2026-04-16 03:45:00+00:00,1167.0,1167.0,1166.75,1166.75,13
2026-04-16 04:00:00+00:00,1167.0,1167.25,1166.75,1166.75,15
2026-04-16 04:15:00+00:00,1166.75,1167.0,1166.75,1166.75,32
2026-04-16 04:30:00+00:00,1166.75,1167.0,1166.5,1166.75,17
2026-04-16 04:45:00+00:00,1166.75,1166.75,1166.75,1166.75,2
2026-04-16 05:00:00+00:00,1166.5,1166.5,1164.75,1165.0,212
2026-04-16 05:15:00+00:00,1165.0,1165.25,1164.75,1164.75,305
2026-04-16 05:30:00+00:00,1164.75,1166.25,1164.75,1166.25,1043
2026-04-16 05:45:00+00:00,1166.25,1166.25,1165.0,1165.25,1094
2026-04-16 06:00:00+00:00,1165.0,1166.75,1164.75,1166.75,46
2026-04-16 06:15:00+00:00,1167.0,1167.0,1166.25,1166.75,66
2026-04-16 06:30:00+00:00,1166.5,1167.0,1166.25,1166.5,191
2026-04-16 06:45:00+00:00,1166.75,1168.25,1166.75,1167.0,209
2026-04-16 07:00:00+00:00,1167.0,1167.75,1166.75,1167.75,96
