entry_dt,exit_dt,side,entry,exit,n,exit_tag,gross_pnl,net_pnl,bars_held
2026-04-06 01:30:00+00:00,2026-04-06 02:30:00+00:00,BUY,1161.375,1158.875,1,TIME,-12.5,-13.98,12
2026-04-06 03:45:00+00:00,2026-04-06 04:05:00+00:00,BUY,1160.875,1158.2551,1,SL,-13.1,-14.58,4
2026-04-07 01:00:00+00:00,2026-04-07 02:00:00+00:00,SELL,1164.625,1166.875,1,TIME,-11.25,-12.73,12
2026-04-07 02:05:00+00:00,2026-04-07 02:05:00+00:00,SELL,1165.375,1168.4039,1,SL,-15.14,-16.62,0
2026-04-07 02:10:00+00:00,2026-04-07 03:10:00+00:00,SELL,1166.125,1168.125,1,TIME,-10.0,-11.48,12
2026-04-08 00:15:00+00:00,2026-04-08 01:15:00+00:00,BUY,1148.375,1149.875,1,TIME,7.5,6.02,12
2026-04-08 01:25:00+00:00,2026-04-08 01:50:00+00:00,BUY,1151.875,1154.588,1,TP,13.56,12.08,5
2026-04-08 01:55:00+00:00,2026-04-08 02:55:00+00:00,BUY,1157.125,1155.625,1,TIME,-7.5,-8.98,12
2026-04-08 03:50:00+00:00,2026-04-08 04:50:00+00:00,BUY,1155.875,1154.625,1,TIME,-6.25,-7.73,12
2026-04-08 04:55:00+00:00,2026-04-08 05:55:00+00:00,BUY,1156.625,1154.875,1,TIME,-8.75,-10.23,12
2026-04-09 01:45:00+00:00,2026-04-09 02:45:00+00:00,BUY,1163.375,1161.375,1,TIME,-10.0,-11.48,12
2026-04-09 03:05:00+00:00,2026-04-09 04:15:00+00:00,BUY,1163.125,1161.125,1,TIME,-10.0,-11.48,12
2026-04-09 05:30:00+00:00,2026-04-09 06:00:00+00:00,BUY,1163.625,1161.3532,1,SL,-11.36,-12.84,6
2026-04-10 01:35:00+00:00,2026-04-10 02:40:00+00:00,BUY,1169.375,1167.375,1,TIME,-10.0,-11.48,12
2026-04-10 02:55:00+00:00,2026-04-10 04:00:00+00:00,BUY,1168.375,1166.625,1,TIME,-8.75,-10.23,12
2026-04-10 04:05:00+00:00,2026-04-10 05:05:00+00:00,BUY,1168.375,1167.7092,1,TP,-3.33,-4.8100000000000005,12
2026-04-13 00:05:00+00:00,2026-04-13 00:10:00+00:00,SELL,1176.625,1180.6911,1,SL,-20.33,-21.81,1
2026-04-13 00:35:00+00:00,2026-04-13 01:05:00+00:00,SELL,1181.125,1178.8488,1,TP,11.38,9.9,6
2026-04-13 02:45:00+00:00,2026-04-13 03:45:00+00:00,BUY,1177.375,1175.125,1,TIME,-11.25,-12.73,12
2026-04-13 03:55:00+00:00,2026-04-13 04:30:00+00:00,BUY,1177.375,1174.7311,1,SL,-13.22,-14.700000000000001,7
2026-04-13 05:05:00+00:00,2026-04-13 05:25:00+00:00,SELL,1174.375,1175.1068,1,TP,-3.66,-5.140000000000001,3
2026-04-14 01:05:00+00:00,2026-04-14 02:05:00+00:00,SELL,1162.625,1163.875,1,TIME,-6.25,-7.73,12
2026-04-14 02:10:00+00:00,2026-04-14 03:10:00+00:00,SELL,1162.125,1164.375,1,TIME,-11.25,-12.73,12
2026-04-14 03:15:00+00:00,2026-04-14 03:15:00+00:00,SELL,1162.625,1165.3141,1,SL,-13.45,-14.93,0
2026-04-15 00:10:00+00:00,2026-04-15 01:10:00+00:00,SELL,1158.375,1160.875,1,TIME,-12.5,-13.98,12
2026-04-15 01:55:00+00:00,2026-04-15 03:05:00+00:00,SELL,1160.375,1162.375,1,TIME,-10.0,-11.48,12
2026-04-15 03:10:00+00:00,2026-04-15 04:15:00+00:00,SELL,1160.875,1161.875,1,TIME,-5.0,-6.48,12
2026-04-16 00:10:00+00:00,2026-04-16 01:10:00+00:00,SELL,1164.125,1166.125,1,TIME,-10.0,-11.48,12
2026-04-16 01:50:00+00:00,2026-04-16 02:50:00+00:00,BUY,1166.875,1165.625,1,TIME,-6.25,-7.73,12
2026-04-16 04:00:00+00:00,2026-04-16 04:35:00+00:00,BUY,1167.875,1165.6386,1,SL,-11.18,-12.66,4
2026-04-17 01:20:00+00:00,2026-04-17 02:20:00+00:00,BUY,1164.625,1161.6339,1,SL,-14.96,-16.44,12
2026-04-17 02:25:00+00:00,2026-04-17 03:25:00+00:00,BUY,1163.375,1162.625,1,TIME,-3.75,-5.23,12
2026-04-17 04:10:00+00:00,2026-04-17 05:00:00+00:00,BUY,1164.125,1161.7669,1,SL,-11.79,-13.27,6
2026-04-20 01:30:00+00:00,2026-04-20 01:35:00+00:00,BUY,1183.375,1180.115,1,SL,-16.3,-17.78,1
2026-04-20 01:40:00+00:00,2026-04-20 02:40:00+00:00,BUY,1180.875,1180.875,1,TIME,0.0,-1.48,12
2026-04-20 09:30:00+00:00,2026-04-20 10:30:00+00:00,BUY,1168.125,1166.375,1,TIME,-8.75,-10.23,12
2026-04-21 02:45:00+00:00,2026-04-21 03:45:00+00:00,SELL,1183.625,1185.375,1,TIME,-8.75,-10.23,12
2026-04-21 04:40:00+00:00,2026-04-21 05:35:00+00:00,SELL,1183.625,1185.8718,1,SL,-11.23,-12.71,8
2026-04-21 06:05:00+00:00,2026-04-21 06:10:00+00:00,SELL,1185.375,1187.7603,1,SL,-11.93,-13.41,1
2026-04-22 01:20:00+00:00,2026-04-22 01:55:00+00:00,SELL,1193.625,1196.7781,1,SL,-15.77,-17.25,7
2026-04-22 02:00:00+00:00,2026-04-22 02:30:00+00:00,SELL,1195.125,1198.1149,1,SL,-14.95,-16.43,6
2026-04-22 02:35:00+00:00,2026-04-22 03:10:00+00:00,SELL,1196.625,1199.3785,1,SL,-13.77,-15.25,7
2026-04-23 00:20:00+00:00,2026-04-23 01:10:00+00:00,SELL,1178.875,1183.2479,1,SL,-21.86,-23.34,10
2026-04-23 07:00:00+00:00,2026-04-23 08:00:00+00:00,SELL,1179.375,1180.875,1,TIME,-7.5,-8.98,12
2026-04-23 08:30:00+00:00,2026-04-23 08:30:00+00:00,SELL,1179.875,1182.5394,1,SL,-13.32,-14.8,0
2026-04-24 06:30:00+00:00,2026-04-24 07:00:00+00:00,SELL,1173.125,1175.9614,1,SL,-14.18,-15.66,6
2026-04-24 09:20:00+00:00,2026-04-24 10:20:00+00:00,SELL,1176.625,1178.125,1,TIME,-7.5,-8.98,12
2026-04-24 11:15:00+00:00,2026-04-24 11:25:00+00:00,SELL,1175.375,1175.5066,1,TP,-0.66,-2.14,2
